"variable","ap","count","frac"
"G.G6.W.3","processing",545,0.109459730869653
"G.G6.W.3","unknown",1978,0.397268527816831
"G.G6.A.1","non-processing",2321,0.465783664459161
"G.G6.A.1","processing",599,0.120208709612683
"G.G6.A.1","unknown",2063,0.414007625928156
"G.G6.A.2","non-processing",3090,0.621355318721094
"G.G6.A.2","processing",412,0.0828473758294792
"G.G6.A.2","unknown",1471,0.295797305449427
"G.G6.A.3","non-processing",2194,0.440562248995984
"G.G6.A.3","processing",673,0.135140562248996
"G.G6.A.3","unknown",2113,0.42429718875502
"G.G6.1.1","non-processing",2251,0.452280490255174
"G.G6.1.1","processing",603,0.121157323688969
"G.G6.1.1","unknown",2123,0.426562186055857
"G.G6.1.2","non-processing",2400,0.482024502912231
"G.G6.1.2","processing",613,0.123117091785499
"G.G6.1.2","unknown",1966,0.39485840530227
"G.G6.1.3","non-processing",2632,0.529045226130653
"G.G6.1.3","processing",510,0.10251256281407
"G.G6.1.3","unknown",1833,0.368442211055276
"G.G6.100.1","non-processing",2567,0.515151515151515
"G.G6.100.1","processing",639,0.128236002408188
"G.G6.100.1","unknown",1777,0.356612482440297
"G.G6.100.2","non-processing",2837,0.569107321965898
"G.G6.100.2","processing",515,0.103309929789368
"G.G6.100.2","unknown",1633,0.327582748244734
"G.G6.100.3","non-processing",2702,0.54191736863217
"G.G6.100.3","processing",603,0.120938628158845
"G.G6.100.3","unknown",1681,0.337144003208985
"G.G6.200.1","non-processing",3564,0.713227936762057
"G.G6.200.1","processing",224,0.0448268961376826
"G.G6.200.1","unknown",1209,0.24194516710026
"G.G6.200.2","non-processing",3775,0.754547271637018
"G.G6.200.2","processing",208,0.0415750549670198
"G.G6.200.2","unknown",1020,0.203877673395962
"G.G6.200.3","non-processing",3409,0.683029453015428
"G.G6.200.3","processing",447,0.089561210178321
"G.G6.200.3","unknown",1135,0.227409336806251
"G.G10.W.1","non-processing",3235,0.65142972211035
"G.G10.W.1","processing",89,0.017921868707209
"G.G10.W.1","unknown",1642,0.330648409182441
"G.G10.W.2","non-processing",3717,0.747736873868437
"G.G10.W.2","processing",98,0.0197143431905049
"G.G10.W.2","unknown",1156,0.232548782941058
"G.G10.W.3","non-processing",4365,0.877034358047016
"G.G10.W.3","processing",21,0.00421940928270042
"G.G10.W.3","unknown",591,0.118746232670283
"G.G10.A.1","non-processing",3532,0.711666330848277
"G.G10.A.1","processing",83,0.0167237557928672
"G.G10.A.1","unknown",1348,0.271609913358856
"G.G10.A.2","non-processing",3786,0.761158021712907
